STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,ACTIVITY,Economic activity,MEASURE,Measure,PRICE_BASE,Price base,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,EST_METHOD,Estimation methodology,OBS_STATUS,Observation status
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,CAN,Canada,GTI,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,B1G,Value added,V,Current prices,XDC,National currency,2012,,290332,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,DNK,Denmark,K,Financial and insurance activities,B1G,Value added,V,Current prices,XDC,National currency,2012,,99686.599,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,DNK,Denmark,C,Manufacturing,B1G,Value added,V,Current prices,XDC,National currency,2012,,212171.156,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,DNK,Denmark,A,"Agriculture, forestry and fishing",B1G,Value added,V,Current prices,XDC,National currency,2012,,30619.828,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,DNK,Denmark,F,Construction,B1G,Value added,V,Current prices,XDC,National currency,2012,,75459.619,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,DNK,Denmark,B,Mining and quarrying,B1G,Value added,V,Current prices,XDC,National currency,2012,,52749.981,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,DNK,Denmark,GTI,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,B1G,Value added,V,Current prices,XDC,National currency,2012,,315957.71,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,DNK,Denmark,OTU,Other services,B1G,Value added,V,Current prices,XDC,National currency,2012,,435682.415,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,DNK,Denmark,J,Information and communication,B1G,Value added,V,Current prices,XDC,National currency,2012,,73480.418,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,DNK,Denmark,D_E,"Electricity, gas, steam and air conditioning supply; Water supply; sewerage, waste management and remediation activities",B1G,Value added,V,Current prices,XDC,National currency,2012,,35379.591,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,DNK,Denmark,LTN,Real estate; Professional and business support services,B1G,Value added,V,Current prices,XDC,National currency,2012,,303094.638,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,FIN,Finland,LTN,Real estate; Professional and business support services,B1G,Value added,V,Current prices,XDC,National currency,2012,,34718,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,FIN,Finland,GTI,Wholesale and retail trade; repair of motor vehicles and motorcycles; transportation and storage; accommodation and food service activities,B1G,Value added,V,Current prices,XDC,National currency,2012,,29545,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,FIN,Finland,B,Mining and quarrying,B1G,Value added,V,Current prices,XDC,National currency,2012,,771,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,FIN,Finland,K,Financial and insurance activities,B1G,Value added,V,Current prices,XDC,National currency,2012,,4984,,,,6,Millions,1,One,,,A,Normal value
