cpc3,isic_rev3_4,probability_weight
"H03","3312",.2314626
"H03","3330",.668582
"H04","2211",.0002933
"H04","2230",.0000346
"H04","3000",.2014789
"H04","3230",.3023319
"H04","3320",.1663178
"H04","3330",.1171256
"H04","6420",.0718246
"H04","7220",.0854296
"H04","7523",.0071931
"H04","9211",.0222158
"H04","9213",.0256155
"H04","9220",.0001393
"H05","2610",.0235673
"H05","2693",.0606309
"H05","2891",.0254045
"H05","2892",.0315835
"H05","2930",.0529119
"H05","3210",.8059018
"Y02","2330",.0282014
"Y02","2411",.0286466
"Y02","2412",.0251422
"Y02","2610",.0269469
"Y02","2710",.0793677
"Y02","2720",.0307361
"Y02","2911",.0635627
"Y02","2913",.0258904
"Y02","2914",.0523128
"Y02","2919",.0309063
"Y02","2930",.069252
"Y02","3140",.286698
"Y02","3313",.0575742
"Y02","4010",.0277196
"Y02","4030",.1641015
"Y02","4530",.0029415
"Y04","3000",.161215
"Y04","3140",.12718
"Y04","3312",.0286043
"Y04","3313",.281269
"Y04","3320",.021194
"Y04","3330",.0303801
"Y04","3610",.0947362
"Y04","7220",.0539562
"Y04","7230",.0126688
"Y04","7310",.15064
"Y04","7413",.0318446
"Y04","7491",.0063119
"Y10","1730",.1248281
"Y10","2520",.0511783
"Y10","2610",.0532341
"Y10","2693",.0290988
"Y10","2695",.0373524
"Y10","2710",.0544086
"Y10","2720",.0614605
"Y10","2891",.0371058
"Y10","2892",.0369571
"Y10","2893",.0598455
"Y10","2911",.0432459
"Y10","2913",.1399586
"Y10","2922",.0400564
"Y10","2926",.040845
"Y10","3000",.0279374
"Y10","3692",.0105463
"Y10","4100",.1516877
"Y10","9111",.0001779
"Y10","9231",.0000335
"Y10","9233",.0000419
